704131.6024,3,-1.065,9.674,-2.252,,,,,5,28.709,-41.331,9.75
704131.6223,3,-1.065,9.674,-2.252,,,,,,,,
704131.6421,3,-0.933,9.669,-2.218,4,-0.001,0.002,0.001,5,28.879,-41.71,9.608
704131.662,3,-0.995,9.665,-2.189,,,,,,,,
704131.6819,3,-1.041,9.677,-2.218,,,,,,,,
704131.7017,3,-1.048,9.684,-2.209,4,0.004,0.005,0.01,5,31.354,-42.661,12.624
704131.7216,3,-1.029,9.672,-2.185,,,,,,,,
704131.7415,3,-1.084,9.684,-2.17,,,,,,,,
704131.7613,3,-1.058,9.693,-2.144,4,0.006,-0.002,0.01,,,,
704131.7812,3,-1.091,9.655,-2.161,,,,,,,,
704131.8011,3,-1.067,9.696,-2.244,,,,,,,,
704131.8209,3,-0.976,9.677,-2.228,4,0.008,-0.005,0.017,5,31.339,-43.329,13.258
704131.8408,3,-0.909,9.674,-2.24,,,,,,,,
704131.8607,3,-0.976,9.686,-2.235,,,,,,,,
704131.8805,3,-1.074,9.669,-2.273,4,0.01,0.002,0.018,,,,
704131.9004,3,-1.01,9.701,-2.343,,,,,,,,
704131.9203,3,-0.854,9.641,-2.261,,,,,,,,
704131.9402,3,-0.725,9.681,-2.383,4,0.01,0.013,0.024,5,30.466,-42.242,11.935
704131.96,3,-0.723,9.645,-2.35,,,,,,,,
704131.9799,3,-0.945,9.698,-2.242,,,,,,,,
704131.9997,3,-1.065,9.662,-1.996,4,0.012,0.042,0.017,5,30.29,-42.592,13.095
704132.0196,3,-1.321,9.739,-2.008,,,,,,,,
704132.0395,3,-1.199,9.677,-2.103,,,,,,,,
704132.0593,3,-1.177,9.703,-1.972,4,0.013,0.012,0.019,5,31.943,-42.075,12.764
704132.0792,3,-1.259,9.681,-2.053,,,,,,,,
704132.0991,3,-1.18,9.71,-1.979,,,,,,,,
704132.1189,3,-1.261,9.691,-2.084,4,0.022,0.007,0.035,5,30.772,-42.719,14.024
704132.1388,3,-1.18,9.669,-2.29,,,,,,,,
704132.1586,3,-0.857,9.641,-2.07,,,,,,,,
704132.1785,3,-0.773,9.638,-2.192,4,0.03,-0.008,0.054,5,31.218,-42.85,13.828
704132.1984,3,-0.802,9.607,-2.438,,,,,,,,
704132.2182,3,-0.873,9.665,-2.407,,,,,,,,
704132.2381,3,-0.986,9.605,-2.436,4,0.041,0.016,0.048,5,30.254,-42.258,13.144
704132.258,3,-0.816,9.66,-2.587,,,,,,,,
704132.2779,3,-0.67,9.65,-2.455,,,,,,,,
704132.2977,3,-0.945,9.645,-2.563,4,0.035,-0.007,0.047,,,,
704132.3176,3,-1.101,9.59,-2.745,,,,,,,,
704132.3374,3,-0.782,9.638,-2.453,,,,,,,,
704132.3573,3,-0.761,9.636,-2.249,4,0.025,-0.035,0.054,5,30.034,-42.024,14.413
704132.3772,3,-0.73,9.662,-2.426,,,,,,,,
704132.397,3,-1.381,9.461,-2.701,,,,,,,,
704132.4169,3,-2.699,9.835,-2.055,4,0.03,-0.047,0.05,,,,
704132.4368,3,-1.304,9.65,-1.988,,,,,,,,
704132.4566,3,-0.558,9.519,-2.175,,,,,,,,
704132.4765,3,-0.323,9.643,-2.23,4,0.046,-0.142,0.096,5,29.98,-42.357,13.727
704132.4963,3,-1.33,9.679,-2.18,,,,,,,,
704132.5162,3,-1.527,9.605,-3.214,,,,,,,,
704132.5361,3,-1.412,9.61,-2.599,4,0.075,-0.063,0.096,5,28.848,-43.283,12.129
704132.556,3,-0.388,9.583,-2.867,,,,,,,,
704132.5758,3,0.893,9.377,-3.907,,,,,,,,
704132.5957,3,0.297,9.476,-4.015,4,0.053,0.025,0.115,5,30.043,-41.313,13.38
704132.6156,3,-1.493,9.416,-3.989,,,,,,,,
704132.6354,3,-0.845,9.665,-3.814,,,,,,,,
704132.6553,3,0.696,9.081,-3.508,4,0.002,0.08,0.089,5,29.169,-43.097,13.734
704132.6751,3,0.081,9.421,-4.149,,,,,,,,
704132.695,3,-1.149,9.007,-4.704,,,,,,,,
704132.7149,3,-1.074,9.236,-5.255,4,-0.007,-0.063,0.042,5,28.992,-44.604,13.435
704132.7347,3,0.055,9.136,-4.759,,,,,,,,
704132.7546,3,-0.067,9.2,-5.104,,,,,,,,
704132.7745,3,-0.823,8.975,-4.489,4,-0.019,-0.162,0.019,5,28.951,-42.191,11.934
704132.7944,3,-3.632,8.298,-5.427,,,,,,,,
704132.8142,3,-3.967,8.451,-4.881,,,,,,,,
704132.8341,3,-3.036,8.997,-4.549,4,0.008,-0.176,0.031,5,28,-41.444,11.929
704132.8539,3,-2.328,8.15,-4.116,,,,,,,,
704132.8738,3,-2.323,9.145,-5.226,,,,,,,,
704132.8937,3,-0.5,8.396,-5.302,4,0.07,-0.372,0.128,5,26.915,-41.626,12.416
704132.9135,3,-0.888,9.045,-6.604,,,,,,,,
704132.9334,3,-1.383,8.526,-6.135,,,,,,,,
704132.9533,3,-0.782,9.397,-4.771,4,0.114,-0.11,0.155,,,,
704132.9731,3,0.282,10.787,-3.884,,,,,,,,
704132.993,3,-0.359,9.825,-2.568,,,,,,,,
704133.0129,3,0.129,9.49,-1.405,4,0.077,0.07,0.16,5,26.035,-41.83,12.653
704133.0327,3,1.553,7.913,-2.374,,,,,,,,
704133.0526,3,0.5,11.158,-4.286,,,,,,,,
704133.0724,3,0.089,9.846,-3.726,4,0.133,0.57,0.085,5,24.443,-41.029,14.003
704133.0923,3,-0.931,9.976,-2.496,,,,,,,,
704133.1122,3,-1.893,9.751,-0.239,,,,,,,,
