701194.7432,3,0.325,9.66,-2.182,,,,,5,-12.053,-43.004,-3.387
701194.763,3,0.325,9.66,-2.182,,,,,,,,
701194.7829,3,0.328,9.605,-2.599,4,0.001,0.007,0.007,5,-9.546,-44.18,-3.574
701194.8028,3,0.136,9.583,-2.601,,,,,,,,
701194.8227,3,0.048,9.641,-2.517,,,,,,,,
701194.8425,3,0.117,9.648,-2.512,4,-0.002,-0.001,-0.018,5,-8.054,-45.093,-1.579
701194.8624,3,0.177,9.624,-2.436,,,,,,,,
701194.8823,3,0.201,9.638,-2.429,,,,,,,,
701194.9021,3,0.268,9.633,-2.46,4,-0.002,-0.002,-0.006,,,,
701194.922,3,0.266,9.665,-2.484,,,,,,,,
701194.9419,3,0.22,9.631,-2.46,,,,,,,,
701194.9617,3,0.223,9.65,-2.472,4,-0.001,-0.002,0.004,5,-6.871,-43.054,-1.312
701194.9816,3,0.22,9.633,-2.556,,,,,,,,
701195.0015,3,0.249,9.629,-2.572,,,,,,,,
701195.0213,3,0.373,9.605,-2.529,4,0,0.001,0.012,,,,
701195.0412,3,0.436,9.633,-2.558,,,,,,,,
701195.0611,3,0.529,9.614,-2.539,,,,,,,,
701195.0809,3,0.498,9.622,-2.479,4,-0.002,-0.007,0.012,5,-8.313,-44.586,-2.402
701195.1008,3,0.445,9.624,-2.56,,,,,,,,
701195.1207,3,0.388,9.619,-2.515,,,,,,,,
701195.1406,3,0.352,9.602,-2.457,4,0,0,0.006,5,-8.087,-44.897,-0.9
701195.1604,3,0.256,9.607,-2.522,,,,,,,,
701195.1803,3,0.127,9.645,-2.625,,,,,,,,
701195.2002,3,0.024,9.622,-2.515,4,0.003,0.016,0.009,5,-6.281,-45.11,-1.295
701195.22,3,-0.024,9.583,-2.493,,,,,,,,
701195.2399,3,-0.007,9.648,-2.637,,,,,,,,
701195.2598,3,0.041,9.617,-2.673,4,0.004,0.02,0.027,5,-7.397,-43.886,-1.291
701195.2796,3,0.055,9.6,-2.649,,,,,,,,
701195.2995,3,0.218,9.598,-2.704,,,,,,,,
701195.3194,3,0.431,9.562,-2.627,4,0.002,0.018,0.049,5,-7.693,-45.192,-1.768
701195.3392,3,0.421,9.59,-2.606,,,,,,,,
701195.3591,3,0.397,9.612,-2.62,,,,,,,,
701195.379,3,0.51,9.626,-2.692,4,0.004,0.031,0.054,5,-8.524,-44.827,-2.405
701195.3988,3,0.601,9.574,-2.623,,,,,,,,
701195.4187,3,0.646,9.533,-2.539,,,,,,,,
701195.4386,3,0.684,9.641,-2.709,4,0.004,0.041,0.051,,,,
701195.4584,3,1.4,9.421,-4.025,,,,,,,,
701195.4783,3,0.311,9.677,-2.158,,,,,,,,
701195.4982,3,0.077,9.823,-1.606,4,-0.008,0.12,0.032,5,-8.498,-45.064,-0.47
701195.518,3,0.653,9.454,-3.331,,,,,,,,
701195.5379,3,0.067,9.598,-2.558,,,,,,,,
701195.5578,3,0.481,9.768,-2.62,4,0.013,0.04,0.028,,,,
701195.5776,3,0.883,9.504,-2.654,,,,,,,,
701195.5975,3,0.991,9.509,-2.429,,,,,,,,
701195.6174,3,0.61,9.681,-2.132,4,-0.004,0.02,0.027,5,-9.071,-45.073,-2.313
701195.6372,3,0.802,9.619,-3.154,,,,,,,,
701195.6571,3,0.165,9.588,-2.754,,,,,,,,
701195.677,3,-0.067,9.708,-2.237,4,0,0.111,0.022,5,-8.794,-44.22,-1.785
701195.6969,3,0.23,9.607,-2.603,,,,,,,,
701195.7167,3,0.361,9.488,-2.733,,,,,,,,
701195.7366,3,0.383,9.576,-2.364,4,0.005,0.129,0.044,5,-8.748,-44.353,-2.647
701195.7565,3,0.072,9.645,-3.17,,,,,,,,
701195.7763,3,0.201,9.418,-3.245,,,,,,,,
701195.7962,3,0.569,9.514,-2.84,4,-0.002,0.059,0.067,5,-7.959,-45.387,-0.658
701195.8161,3,0.869,9.595,-2.498,,,,,,,,
701195.8359,3,0.933,9.375,-2.735,,,,,,,,
701195.8558,3,1.019,9.533,-3.01,4,0.006,0.146,0.069,5,-9.048,-43.979,-2.699
701195.8756,3,1.216,9.425,-3.34,,,,,,,,
701195.8955,3,1.378,9.433,-3.161,,,,,,,,
701195.9154,3,1.29,9.38,-2.979,4,0.002,0.088,0.048,,,,
701195.9353,3,1.103,9.526,-3.082,4,-0.003,0.259,0.021,5,-8.653,-44.902,-1.141
701195.9551,3,0.859,9.552,-2.941,,,,,,,,
701195.975,3,0.636,9.49,-2.831,,,,,,,,
701195.9949,3,0.543,9.428,-2.73,,,,,,,,
701196.0147,3,0.517,9.344,-3.032,4,0.013,0.267,0.018,,,,
701196.0346,3,0.438,9.497,-3.135,,,,,,,,
701196.0545,3,0.598,9.701,-3.376,,,,,,,,
701196.0743,3,0.809,9.574,-3.3,4,0.005,0.197,0.028,5,-9.006,-45.767,-2.649
701196.0942,3,1.058,9.203,-2.67,,,,,,,,
701196.1141,3,1.108,9.562,-2.522,,,,,,,,
701196.1339,3,0.988,9.509,-2.261,4,0.009,0.245,0.021,5,-9.842,-45.807,-1.924
701196.1538,3,1.046,9.564,-2.95,,,,,,,,
701196.1737,3,1.06,9.645,-2.173,,,,,,,,
701196.1935,3,1.019,9.858,-1.725,4,0,0.206,0.01,5,-7.245,-45.329,-2.24
701196.2134,3,1.17,9.854,-1.591,,,,,,,,
701196.2333,3,1.228,9.648,-1.761,,,,,,,,
701196.2532,3,1.129,9.459,-1.826,4,-0.002,0.125,0.017,5,-9.613,-46.603,-2.905
701196.273,3,0.933,9.782,-1.756,,,,,,,,
701196.2929,3,0.799,9.923,-1.531,,,,,,,,
701196.3127,3,0.778,9.844,-1.752,4,-0.004,0.061,0.025,5,-8.371,-45.633,-2.057
701196.3326,3,1.05,9.791,-1.68,,,,,,,,
701196.3525,3,1.072,9.746,-1.491,,,,,,,,
701196.3723,3,1.139,9.808,-1.472,4,-0.007,0.047,0.038,,,,
701196.3922,3,1.316,9.775,-1.563,,,,,,,,
701196.4121,3,1.352,9.765,-1.955,,,,,,,,
701196.4319,3,1.192,9.72,-2.039,4,-0.006,0.041,0.046,5,-7.01,-46.208,-2.415
701196.4518,3,1.043,9.669,-1.957,,,,,,,,
701196.4717,3,1.089,9.622,-1.981,,,,,,,,
701196.4916,3,1.244,9.641,-2.177,4,-0.002,0.026,0.048,5,-7.806,-44.327,-3.661
701196.5114,3,1.376,9.598,-2.498,,,,,,,,
701196.5313,3,1.488,9.516,-2.733,,,,,,,,
701196.5512,3,1.677,9.547,-2.754,4,0,0.002,0.039,,,,
701196.571,3,1.802,9.478,-2.663,,,,,,,,
701196.5903,3,1.72,9.521,-2.575,,,,,,,,
701196.6108,3,1.584,9.531,-2.424,4,-0.002,0.016,0.006,5,-8.482,-44.632,-2.65
701196.6306,3,1.503,9.521,-2.46,,,,,,,,
701196.6505,3,1.433,9.6,-2.532,,,,,,,,
701196.6704,3,1.524,9.581,-2.457,4,0.005,-0.011,-0.016,5,-8.101,-45.239,-3.178
701196.6903,3,1.563,9.543,-2.378,,,,,,,,
701196.7101,3,1.388,9.586,-2.364,,,,,,,,
701196.73,3,1.292,9.602,-2.347,4,0.004,0,-0.034,5,-10.104,-45.805,-3.38
701196.7498,3,1.28,9.555,-2.419,,,,,,,,
701196.7697,3,1.206,9.576,-2.46,,,,,,,,
701196.7896,3,1.077,9.605,-2.46,4,0.002,-0.007,-0.041,5,-7.602,-45.036,-2.493
701196.8095,3,1.034,9.59,-2.41,,,,,,,,
701196.8293,3,0.974,9.571,-2.314,,,,,,,,
701196.8492,3,0.964,9.571,-2.276,4,0.001,-0.007,-0.036,5,-8.786,-44.353,-2.266
701196.8691,3,0.995,9.619,-2.316,,,,,,,,
701196.8889,3,1.125,9.641,-2.486,,,,,,,,
701196.9088,3,1.048,9.586,-2.575,4,0.003,-0.012,-0.029,,,,
701196.9287,3,0.89,9.578,-2.73,,,,,,,,
701196.9485,3,0.699,9.535,-2.835,,,,,,,,
701196.9684,3,0.462,9.538,-2.807,4,-0.009,0.034,-0.015,5,-8.08,-44.388,-2.757
701196.9883,3,0.318,9.495,-2.788,,,,,,,,
701197.0081,3,0.55,9.514,-2.835,,,,,,,,
701197.028,3,1.079,9.507,-3.075,4,-0.003,0.056,0.011,,,,
701197.0479,3,1.474,9.495,-3.304,,,,,,,,
701197.0677,3,1.842,9.399,-3.096,,,,,,,,
701197.0876,3,2.278,9.377,-2.541,4,-0.003,0.132,-0.016,5,-8.33,-46.01,-3.354
701197.1075,3,2.673,9.399,-2.618,,,,,,,,
701197.1274,3,2.376,9.392,-3.182,,,,,,,,
701197.1472,3,2.166,9.497,-3.379,4,0.02,0.078,-0.092,5,-8.096,-45.197,-1.338
701197.1671,3,1.914,9.54,-3.147,,,,,,,,
701197.1869,3,0.859,9.447,-2.173,,,,,,,,
701197.2068,3,-0.254,9.825,-2.434,4,0.018,0.027,-0.13,5,-6.772,-45.63,-2.646
701197.2267,3,-0.842,9.724,-3.36,,,,,,,,
701197.2465,3,-0.974,9.442,-3.51,,,,,,,,
701197.2664,3,-0.4,9.497,-2.816,4,-0.013,-0.072,-0.054,5,-7.343,-45.027,-3.914
701197.2863,3,0.007,9.397,-1.362,,,,,,,,
701197.3061,3,0.251,9.633,-1.73,,,,,,,,
701197.326,3,0.213,9.062,-2.484,4,0.01,0.145,0.011,5,-7.436,-45.462,-3.084
701197.3459,3,0.916,8.76,-3.807,,,,,,,,
701197.3658,3,0.68,11.476,-4.932,,,,,,,,
701197.3856,3,0.201,9.287,-2.666,4,-0.004,0.207,0.03,5,-5.663,-45.705,-1.678
701197.4055,3,0.067,8.535,-2.199,,,,,,,,
701197.4254,3,0.502,9.476,-2.295,,,,,,,,
701197.4452,3,0.132,9.614,-3.405,4,0.012,0.295,0.073,,,,
701197.4651,3,-0.043,9.332,-4.388,,,,,,,,
701197.485,3,0.766,9.217,-3.967,,,,,,,,
701197.5048,3,1.038,9.447,-3.75,4,-0.009,0.297,0.098,5,-7.808,-43.892,-3.961
701197.5247,3,1.141,8.849,-2.984,,,,,,,,
701197.5446,3,2.005,9.002,-3.395,,,,,,,,
701197.5644,3,1.862,9.586,-3.051,4,-0.002,0.451,0.072,,,,
701197.5843,3,1.625,9.645,-3.06,,,,,,,,
701197.6041,3,1.082,8.573,-2.244,,,,,,,,
701197.624,3,0.524,9.624,-3.654,4,0.059,0.503,0.045,5,-6.114,-43.951,-4.488
701197.6439,3,0.998,8.473,-2.544,,,,,,,,
701197.6638,3,2.424,9.961,-4.616,,,,,,,,
701197.6836,3,2.56,9.421,-2.335,4,0.033,0.314,0.028,5,-6.728,-43.584,-4.828
701197.7035,3,2.675,8.911,-3.132,,,,,,,,
701197.7234,3,2.632,9.992,-3.324,,,,,,,,
701197.7432,3,1.921,9.576,-3.381,4,0.056,0.484,-0.05,5,-6.073,-44.295,-3.377
701197.7631,3,0.845,9.141,-2.96,,,,,,,,
701197.783,3,0.06,9.284,-3.142,,,,,,,,
701197.8028,3,1.23,9.997,-3.111,4,0.046,0.438,-0.067,5,-4.951,-45.871,-3.558
701197.8227,3,1.943,9.619,-2.493,,,,,,,,
701197.8426,3,0.845,9.835,-2.723,,,,,,,,
701197.8624,3,0.266,9.1,-2.701,4,0.031,0.397,-0.065,5,-6.424,-45.717,-4.395
701197.8823,3,0.431,9.392,-3.257,,,,,,,,
701197.9022,3,0.861,9.165,-2.517,,,,,,,,
701197.922,3,1.113,10.677,-3.651,4,-0.01,0.217,-0.042,5,-5.121,-43.547,-3.67
701197.9419,3,1.512,8.746,-1.996,,,,,,,,
701197.9618,3,1.256,10,-3.35,,,,,,,,
701197.9817,3,1.409,9.275,-2.859,4,0.022,0.32,-0.034,5,-4.073,-44.183,-3.471
701198.0015,3,0.854,10.148,-3.357,,,,,,,,
701198.0214,3,0.895,9.098,-3.187,,,,,,,,
701198.0412,3,0.371,9.397,-3.304,4,0.045,0.367,-0.025,5,-4.099,-45.421,-4.094
