703966.7103,3,1.192,9.495,-2.692,,,,,5,-31.268,-38.53,16.905
703966.7302,3,1.192,9.495,-2.692,,,,,,,,
703966.7501,3,1.338,9.466,-2.809,4,0.002,-0.022,0.025,5,-28.613,-37.761,20.158
703966.7699,3,1.287,9.507,-2.795,,,,,,,,
703966.7898,3,1.228,9.492,-2.742,,,,,,,,
703966.8096,3,1.242,9.509,-2.682,4,0,0.002,0.004,,,,
703966.8295,3,1.251,9.523,-2.682,,,,,,,,
703966.8494,3,1.144,9.523,-2.654,,,,,,,,
703966.8693,3,1.065,9.514,-2.584,4,0,0.003,0.004,5,-28.293,-39.18,20.886
703966.8891,3,1.027,9.547,-2.572,,,,,,,,
703966.909,3,1.053,9.533,-2.603,,,,,,,,
703966.9289,3,1.072,9.507,-2.606,4,0.002,0,0.014,5,-27.283,-37.73,21.268
703966.9487,3,1.077,9.521,-2.62,,,,,,,,
703966.9686,3,1.06,9.523,-2.68,,,,,,,,
703966.9885,3,1.113,9.497,-2.651,4,0.004,-0.001,0.024,,,,
703967.0083,3,1.201,9.485,-2.613,,,,,,,,
703967.0282,3,1.196,9.5,-2.663,,,,,,,,
703967.048,3,1.206,9.478,-2.709,4,0.007,0.004,0.033,5,-28.6,-38.246,21.756
703967.0679,3,1.182,9.5,-2.735,,,,,,,,
703967.0878,3,1.172,9.485,-2.735,,,,,,,,
703967.1076,3,1.244,9.488,-2.718,4,0.009,0.013,0.039,5,-28.302,-37.624,21.4
703967.1275,3,1.295,9.468,-2.713,,,,,,,,
703967.1474,3,1.304,9.468,-2.687,,,,,,,,
703967.1673,3,1.33,9.495,-2.8,4,0.009,0.008,0.043,5,-27.432,-38.028,20.74
703967.1871,3,1.314,9.476,-2.797,,,,,,,,
703967.207,3,1.342,9.454,-2.67,,,,,,,,
703967.2269,3,1.431,9.464,-2.68,4,0.009,0.016,0.044,5,-28.595,-38.661,21.362
703967.2467,3,1.472,9.504,-2.747,,,,,,,,
703967.2666,3,1.407,9.511,-2.697,,,,,,,,
703967.2864,3,1.266,9.473,-2.603,4,0.011,0.022,0.042,5,-26.337,-39.569,22.74
703967.3063,3,1.247,9.514,-2.666,,,,,,,,
703967.3262,3,1.316,9.504,-2.627,,,,,,,,
703967.346,3,1.28,9.526,-2.716,4,0.012,0.023,0.047,,,,
703967.3659,3,1.311,9.44,-2.776,,,,,,,,
703967.3858,3,1.493,9.444,-2.809,,,,,,,,
703967.4056,3,1.732,9.392,-2.919,4,0.007,0,0.051,5,-28.558,-36.575,20.055
703967.4255,3,1.819,9.416,-3.194,,,,,,,,
703967.4454,3,1.797,9.373,-2.886,,,,,,,,
703967.4652,3,1.517,9.471,-2.709,4,0.007,0.028,0.038,5,-29.243,-37.724,19.914
703967.4851,3,1.531,9.437,-2.656,,,,,,,,
703967.505,3,1.768,9.54,-2.51,,,,,,,,
