709653.007,3,0.485,9.565,-3.092,,,,,5,26.695,-42.102,12.654
709653.0666,3,0.526,9.509,-3.207,4,0,0.022,0.048,5,2.26,-37.065,42.72
709653.1261,3,0.311,9.499,-3.048,4,0.002,0.005,0.008,,,,
709653.1858,3,0.246,9.527,-2.959,4,0,-0.001,0.007,5,3.157,-36.711,43.446
709653.2453,3,0.266,9.526,-2.946,4,0.002,-0.005,0.012,5,2.698,-37.059,44.409
709653.3049,3,0.368,9.521,-2.99,4,0.004,-0.006,0.014,5,2.78,-37.727,43.832
709653.3645,3,0.38,9.507,-3.029,4,0.004,-0.008,0.012,5,3.464,-38.705,42.375
709653.4241,3,0.298,9.515,-3.002,4,0.002,-0.007,0.009,5,3.209,-38.046,43.404
709653.4837,3,0.235,9.511,-3.003,4,0.002,-0.006,0.01,5,3.973,-37.642,43.309
709653.5433,3,0.253,9.525,-2.996,4,0.003,-0.004,0.012,5,2.82,-37.672,42.03
709653.6029,3,0.324,9.51,-2.96,4,0.004,-0.005,0.017,5,3.232,-37.328,43.259
709653.6625,3,0.236,9.523,-2.989,4,0.007,0.002,0.017,,,,
709653.7221,3,0.252,9.517,-2.99,4,0.007,-0.001,0.021,5,3.287,-37.038,44.313
709653.7817,3,0.309,9.502,-3.012,4,0.008,-0.011,0.027,5,2.2,-37.685,43.784
709653.8413,3,0.41,9.503,-3.088,4,0.009,-0.014,0.029,5,1.785,-35.789,41.348
709653.9008,3,0.432,9.496,-3.05,4,0.007,-0.011,0.025,5,4.903,-38.486,45.007
709653.9604,3,0.206,9.511,-3.028,4,0.009,-0.005,0.02,5,3.847,-38.664,45.084
709654.02,3,0.081,9.531,-2.958,4,0.008,-0.007,0.03,,,,
709654.0796,3,0.038,9.497,-2.833,4,0.012,-0.018,0.045,5,3.119,-38.281,43.109
709654.1392,3,0.033,9.534,-3.107,4,0.029,0.018,0.066,5,2.109,-39.638,43.402
709654.1988,3,0.596,9.51,-2.948,4,0.029,0.042,0.086,,,,
709654.2584,3,0.717,9.465,-3.099,4,0.039,0.016,0.079,5,1.576,-37.126,42.557
709654.318,3,0.703,9.515,-3.175,4,0.027,-0.042,0.074,,,,
709654.3776,3,0.875,9.425,-3.327,4,0.018,-0.005,0.045,5,1.939,-37.56,45.045
709654.4371,3,0.424,9.451,-3.113,4,0.01,0.006,0.03,5,2.176,-36.786,44.85
709654.4967,3,0.173,9.488,-2.97,4,0.012,0.008,0.038,5,1.016,-37.199,44.127
709654.5563,3,0.75,9.445,-3.849,4,0.021,0,0.055,5,1.57,-37.799,44.115
709654.6159,3,-0.18,9.644,-2.337,4,0.013,0.218,0.042,5,1.373,-36.661,43.828
709654.6755,3,1.002,9.54,-2.867,4,0.05,-0.096,0.083,5,2.179,-36.607,44.077
709654.7351,3,1.197,9.446,-3.009,4,0.022,-0.042,0.083,,,,
709654.7947,3,0.795,9.416,-3.207,4,0.025,-0.013,0.058,5,0.964,-37.102,44.554
709654.8543,3,0.132,9.58,-3.167,4,0.032,0.06,0.058,,,,
709654.9139,3,-0.048,9.299,-4.651,4,0.044,0.028,0.092,5,0.47,-37.393,45.226
709654.9735,3,1.251,9.247,-2.15,4,0.026,0.044,0.12,5,-0.218,-37.129,43.927
709655.0331,3,1.925,9.23,-4.435,4,0.077,0.045,0.116,5,0.185,-37.105,45.253
709655.0926,3,1.874,9.118,-4.342,4,0.044,0.349,0.064,5,0.54,-36.211,44.167
709655.1522,3,1.793,9.33,-2.875,4,0,0.434,0.01,5,-1.483,-37.16,43.825
709655.2118,3,0.537,9.298,-2.985,4,0.021,0.359,-0.023,,,,
709655.2714,3,0.089,9.539,-3.947,4,0.024,0.253,-0.001,5,-4.405,-36.525,46.635
709655.331,3,1.44,9.074,-3.107,4,-0.013,0.056,0.064,5,-2.913,-36.009,46.008
709655.3906,3,1.867,8.95,-4.82,4,0.035,0.182,0.055,,,,
709655.4502,3,1.725,9.048,-4.978,4,0.028,0.43,0.006,5,-3.796,-35.368,44.836
709655.5098,3,0.677,8.735,-5.039,4,0.023,0.437,-0.029,5,-5.232,-35.829,45.695
709655.5694,3,1.393,8.858,-4.905,4,0.005,0.182,-0.016,5,-5.824,-36.461,43.816
709655.6289,3,1.412,8.5,-5.953,4,0.011,0.071,-0.037,5,-6.48,-36.006,43.95
709655.6885,3,1.508,9.075,-4.658,4,-0.046,0.01,-0.05,5,-5.821,-36.322,44.061
709655.7481,3,1.879,8.909,-4.795,4,-0.001,0.008,-0.058,,,,
709655.8077,3,1.924,8.598,-5.157,4,0,0,-0.103,5,-5.411,-36.111,43.816
709655.8673,3,3.307,9.147,-3.801,4,0.007,0.144,-0.163,,,,
