708186.8895,3,1.121,9.595,-2.575,,,,,5,-19.261,-39.703,32.906
708186.9686,3,1.094,9.575,-2.603,,,,,,,,
708187.0283,3,1.195,9.543,-2.68,4,0.002,-0.01,-0.014,5,-18.89,-37.372,34.462
708187.0878,3,1.493,9.525,-2.646,4,-0.002,-0.046,0.019,5,-17.181,-36.472,34.74
708187.1474,3,1.888,9.551,-2.404,4,0.003,-0.003,0.01,,,,
708187.207,3,1.49,9.546,-2.491,4,0.002,-0.023,-0.014,5,-17.296,-39.523,33.682
708187.2666,3,1.22,9.583,-2.494,4,0.008,-0.019,-0.048,5,-17.451,-38.477,32.901
708187.3262,3,0.492,9.563,-2.528,4,0.003,-0.049,-0.065,,,,
708187.3858,3,0.429,9.684,-2.741,4,0.002,-0.066,-0.059,5,-17.084,-37.794,34.792
708187.4454,3,1.152,9.492,-2.955,4,-0.003,-0.061,-0.034,5,-16.658,-38.737,35.188
708187.505,3,0.362,9.559,-2.949,4,-0.003,-0.038,-0.008,5,-15.492,-38.718,34.55
708187.5646,3,0.522,9.555,-2.974,4,-0.002,0.042,-0.015,5,-16.142,-37.929,35.812
708187.6242,3,0.582,9.586,-2.417,4,0.004,-0.013,0.023,5,-16.118,-38.44,34.837
708187.6837,3,0.716,9.598,-2.71,4,-0.005,0.063,0.042,,,,
708187.7433,3,2.162,9.262,-3.484,4,-0.013,0.091,0.069,5,-17.793,-39.682,33.922
708187.8029,3,1.317,9.295,-3.73,4,-0.002,0.15,0.065,,,,
708187.8625,3,0.977,9.358,-3.196,4,-0.025,0.102,0.012,5,-18.544,-37.598,34.018
708187.9221,3,-0.009,9.322,-3.414,4,-0.04,0.038,-0.023,5,-18.715,-37.219,33.241
708187.9817,3,0.187,9.63,-3.987,4,0.035,0.035,-0.006,5,-17.207,-37.514,31.456
708188.0413,3,1.413,9.336,-3.345,4,0.009,-0.011,0.043,5,-15.41,-38.71,33.258
708188.1009,3,0.558,9.189,-3.416,4,0.002,0.207,0.067,5,-18.562,-38.257,31.453
708188.1605,3,1.61,8.683,-3.34,4,0.007,0.306,0.045,5,-21.053,-36.61,30.725
708188.2201,3,2.658,9.171,-4.276,4,-0.004,-0.037,0.071,5,-19.116,-36.94,32.266
708188.2797,3,1.576,9.393,-2.631,4,0.056,0.063,0.017,5,-16.968,-36.798,30.238
708188.3393,3,0.06,10.214,-3.092,4,0.094,0.478,-0.08,,,,
708188.3988,3,0.508,9.122,-4.555,4,0.163,0.288,-0.073,5,-18.437,-38.251,30
708188.4585,3,1.262,9.823,-2.004,4,0.098,0.112,-0.026,5,-18.523,-36.102,25.288
708188.518,3,-0.061,9.465,-3.373,4,-0.037,0.063,-0.019,,,,
708188.5776,3,2.132,8.923,-3.58,4,0.066,0.177,-0.001,5,-20.546,-36.433,25.195
708188.6372,3,2.355,9.778,-3.225,4,0.013,0.054,0.025,5,-20.973,-35.93,24.915
708188.6968,3,0.957,9.958,-3.151,4,0.056,0.227,-0.049,5,-19.936,-35.527,26.462
708188.7564,3,-0.309,9.236,-2.982,4,0.034,0.336,-0.113,5,-21.207,-36.885,26.646
708188.816,3,1.438,8.731,-3.556,4,0.034,0.282,-0.087,5,-20.261,-38.235,27.09
708188.8756,3,2.228,9.53,-2.296,4,0.029,0.504,-0.035,,,,
708188.9352,3,0.655,8.499,-4.415,4,0.02,0.679,-0.099,5,-20.732,-37.393,26.952
708188.9948,3,1.035,9.973,-1.953,4,0.081,0.209,-0.17,5,-21.205,-36.893,27.814
708189.0544,3,2.84,8.687,-3.662,4,-0.08,-0.546,-0.141,5,-20.76,-38.823,27.286
708189.1139,3,2.126,9.443,-3.655,4,0.04,-0.702,-0.127,5,-19.6,-38.559,27.869
708189.1735,3,0.674,9.204,-3.582,4,-0.048,-0.361,-0.183,5,-18.286,-37.823,29.124
708189.2331,3,0.67,9.619,-3.734,4,0.007,0.086,-0.219,5,-17.221,-37.587,25.819
708189.2928,3,-0.877,9.74,-2.579,4,-0.02,0.24,-0.27,5,-16.794,-38.437,25.883
708189.3523,3,-2.757,9.983,-0.464,4,0.025,0.037,-0.291,5,-16.148,-37.041,23.03
708189.4119,3,0.622,9.984,-1.985,4,-0.015,-0.112,-0.145,,,,
708189.4709,3,2.181,9.192,-3.186,4,0.005,-0.544,0.041,5,-15.32,-38.069,24.194
708189.5311,3,1.009,10.118,-1.255,4,-0.012,-0.125,0.041,,,,
708189.5907,3,-0.83,9.501,-3.175,4,-0.033,0.047,-0.04,5,-18.176,-38.365,23.462
708189.6503,3,-0.206,10.303,-2.925,4,0.017,-0.136,-0.032,5,-15.907,-38.17,21.532
708189.7099,3,0.144,10.157,-2.674,4,-0.008,-0.2,0.045,5,-16.464,-37.421,21.439
708189.7695,3,-0.094,9.534,-3.293,4,0.049,0.154,0.072,5,-15.201,-36.732,24.049
708189.829,3,-0.513,8.957,-2.195,4,0.051,0.437,0.051,5,-16.849,-36.771,23.46
708189.8887,3,-1.094,10.384,-3.159,4,0.031,0.42,0.037,5,-17.712,-37.704,25.58
